N,NB,P,Q,Time(s),GFLOPS,Residual,Status,Timestamp
1000,1,1,1,0.05,1.2728e+01,7.09478928e-03,PASSED,2026-01-28 23:16:19
1000,2,1,1,0.04,1.7683e+01,7.14449410e-03,PASSED,2026-01-28 23:16:19
1000,4,1,1,0.03,2.5227e+01,6.66616762e-03,PASSED,2026-01-28 23:16:19
1000,8,1,1,0.02,3.4638e+01,6.53012572e-03,PASSED,2026-01-28 23:16:20
1000,16,1,1,0.01,5.4759e+01,7.00633420e-03,PASSED,2026-01-28 23:16:20
1000,32,1,1,0.01,7.6695e+01,5.56252484e-03,PASSED,2026-01-28 23:16:20
1000,64,1,1,0.01,8.2236e+01,5.76336133e-03,PASSED,2026-01-28 23:16:20
1000,128,1,1,0.01,7.3970e+01,5.67683549e-03,PASSED,2026-01-28 23:16:20
1000,256,1,1,0.01,6.1137e+01,6.01498625e-03,PASSED,2026-01-28 23:16:20
5000,1,1,1,12.13,6.8759e+00,5.86170034e-03,PASSED,2026-01-28 23:16:33
5000,2,1,1,6.71,1.2422e+01,5.78868293e-03,PASSED,2026-01-28 23:16:41
5000,4,1,1,3.46,2.4082e+01,5.61358888e-03,PASSED,2026-01-28 23:16:45
5000,8,1,1,1.88,4.4337e+01,5.14658058e-03,PASSED,2026-01-28 23:16:47
5000,16,1,1,1.26,6.6274e+01,5.76197502e-03,PASSED,2026-01-28 23:16:49
5000,32,1,1,0.66,1.2680e+02,5.23514798e-03,PASSED,2026-01-28 23:16:50
5000,64,1,1,0.55,1.5210e+02,6.40428468e-03,PASSED,2026-01-28 23:16:52
5000,128,1,1,0.61,1.3676e+02,5.82674286e-03,PASSED,2026-01-28 23:16:53
5000,256,1,1,0.50,1.6514e+02,5.13436782e-03,PASSED,2026-01-28 23:16:54
10000,1,1,1,112.40,5.9325e+00,4.83145957e-03,PASSED,2026-01-28 23:18:50
10000,2,1,1,55.46,1.2023e+01,5.47389163e-03,PASSED,2026-01-28 23:19:47
10000,4,1,1,28.61,2.3308e+01,5.47519619e-03,PASSED,2026-01-28 23:20:18
10000,8,1,1,15.23,4.3780e+01,5.00290917e-03,PASSED,2026-01-28 23:20:35
10000,16,1,1,7.57,8.8043e+01,5.36159871e-03,PASSED,2026-01-28 23:20:45
10000,32,1,1,4.52,1.4759e+02,5.57897818e-03,PASSED,2026-01-28 23:20:52
10000,64,1,1,3.44,1.9363e+02,5.94158506e-03,PASSED,2026-01-28 23:20:58
10000,128,1,1,3.37,1.9805e+02,5.53092509e-03,PASSED,2026-01-28 23:21:04
10000,256,1,1,3.19,2.0912e+02,5.12129785e-03,PASSED,2026-01-28 23:21:09
20000,1,1,1,876.78,6.0836e+00,4.18222627e-03,PASSED,2026-01-28 23:35:59
20000,2,1,1,444.97,1.1987e+01,4.18284271e-03,PASSED,2026-01-28 23:43:32
20000,4,1,1,224.06,2.3806e+01,4.34669686e-03,PASSED,2026-01-28 23:47:24
20000,8,1,1,118.55,4.4993e+01,4.15684597e-03,PASSED,2026-01-28 23:49:31
20000,16,1,1,59.14,9.0198e+01,4.36506649e-03,PASSED,2026-01-28 23:50:39
20000,32,1,1,31.84,1.6752e+02,4.25064390e-03,PASSED,2026-01-28 23:51:20
20000,64,1,1,24.08,2.2154e+02,4.08939393e-03,PASSED,2026-01-28 23:51:53
20000,128,1,1,24.55,2.1724e+02,3.98167536e-03,PASSED,2026-01-28 23:52:27
20000,256,1,1,26.65,2.0014e+02,4.49301097e-03,PASSED,2026-01-28 23:53:03
